text;labels
JA SAIU O EP. 2 DE AMERICAN HORROR STORY, XAU;0
Tenho um feitio super complicado, admito.;0
Até amanhã a todos.;1
Quanto mais estudo matematica, menos percebo desta merda;1
@Le_Bundaaa obrigada ^^;0
Sou simpática para as pessoas e abusam logo a pensar que têm grandes confianças comigo, lol;0
to a pitar gd hamburguer;0
Vejam a minha Equipa do Ano de 2013 dos Utilizadores do http://t.co/xLtXFewj3K;1
@sfoliveira fascista é ele, tem de ser sempre tudo como ele quer;0
aquele momento em que deixas trancada a tua avó na casa de banho , e sais de casa;0
Gostava de saber como é que se falta saldo do telemovel a toa!;0
Agora tenho de decidir passar a pda na ericeira ou Lisboa;0
problema é antigo, stress é novo;1
Hoje o dia tinha sido otimo se nao tivesse acontecido aquilo;1
"Princípios da Democracia da Terra

1. Todas as espécies, povos e culturas têm um valor intrínseco: todos os seres... http://t.co/Wb457tzFIs";1
Adoro ver-vos inspirados nos meus tweets;0
RT @chINESacute: Torradas e leite aqui para a doente.;0
Há certas brincadeiras na minha turma que eu não percebo.;1
@juliallmartins it's the same shit, ele dá-se pelo nome apesar de não o ver à 1 ano;1
Nunca tinha visto tantos músicos bons no mesmo sítio.;0
Hoje vou estar com a minha goofy;0
Vesti o casaco ao contrario. Mas agr tenho preguiça de o vestir bem,;0
Governador de MG_ busca filho em gandaia com helicóptero do Governo: https://t.co/6YCeCXEBTt via @YouTube;1
valeu a pena ter beijado quem beijei :);0
Isto não é normal pois não?! http://t.co/vqtAQ20vG2;1
GOLO FDPS;1
Vocês andam todos nos ácidos, All Star é a melhor cena de sempre, nem venham com histórias.;1
Queria que tudo voltasse a ser cm de antes,quando estávamos felizes;1
"Minas Gerais é o estado com mais universidades públicas. precisamente, 11 no total
Minas amo você ♥";0
parece q há 3 anos fui ao festival + hipster de todos. e o mais insólito é que às 22h estava acabado. uma maravilha! http://t.co/xGU5SYJ1Lw;1
GOLOOO PORRA!!;1
STANDBY Squash Masters 2013 Valténis CountryClub! Apareçam porque vai ser em grande!!! http://t.co/jEd0g0TfoS;1
' então, aguenta coração. ';0
@Daniela_7_M Inácio de Jesus porraaaaaaaaaaaa cê não ta ouvindo? Cadê sua orelha vagabundo?;1
RT @CacoBrasil2: POLÍCIA FEDERAL prende um homem por tráfico internacional de drogas com 10kg de cocaína em aeroporto de MG https://t.co/8W…;0
Não entendo porque é que o Justin Bieber nunca vai a estas cenas de prémios;1
RT @jejel14: Em helicóptero do governo, filho do governador de Minas deixa festa de reveillon https://t.co/gIftoFa5qb https://t.co/pMTSQ3JK…;1
Beeeeeem, acho que vou tomar banho e cantar.... Os meus vizinhos ja não me ouvem ha bue tempo! Eu sei que eles têm saudades;1
Luis Filipe Dias, Augusto Costa e 2 outras pessoas gostam da tua photo. http://t.co/N8qlQBoHsH;1
Ja estamos na igreja adefe para ora pela sua vida.;0
@babimsoo eu pedi-te para deixares de ser puta? não. então na me pesas para deixar de ser porco.;1
mas acho que ninguém tem bem a noção das dores com que se fica nos pés a seguir as aulas de ballet;1
"A INTERNET NUNCA SUBSTITUIRÁ O JORNAL

O jornal impresso, como sempre o conhecemos, realmente não poderá ser... http://t.co/bZ5CeyiXER";1
"Rei da Tailândia apela ao trabalho em conjunto para a ""estabilidade"" do país http://t.co/O1gs0LnJeH";1
@luiswestt não gosto nada de ir aí;0
segunda pessoa que diz que nós ficamos bué bem hoje;0
Operação contra furto e roubo é realizada em Patos de Minas https://t.co/mYyykxGAzr https://t.co/pscs7yfvdo;0
RT @matias_pedro: Acumular milhas RT @gustavozago: “@dadacoelho: DEU no Jornal ... http://t.co/2Z8IxtviDw” hahahaha da pra ganhar pontos at…;0
Hoje de manhã estava um bocadinho de frio! http://t.co/HvnOYGZGeh;1
"Post da quinzena no Meios &amp; Publicidade. Para ver em detalhe: http://t.co/ggdMYSUDjq http://t.co/ufPM1spzJ1";1
[Revista de Jogos do SAPO] PS4: fiquem a conhecer o interior da nova consola http://t.co/kdQPmK7zHt;1
@Msribeiro_ Eu sei que sim...já as tuas... :p;0
por vezes não sei se todo o mundo acorda para me irritar, ou se sou mesmo eu ...............;1
Tu que és inglês e me estas a seguir, estou a falar de ti e tu não estas a perceber porque NÃO SABES PORTUGUÊS;1
mas o ask não tinha acabado? js.;1
joana canhoto - 20 anos - 177 - almada http://t.co/1qaWSxWPZg;1
Hoje estou tão cansada que me encostei e adormeci;1
tá frio, hoje ?;0
@oreosefixe mas não é para dizeres essas coisas, porque não és, eles amam-te;0
@catarinaalsp na descontra ahaha;0
RT @pandafixe: @arealcool safoda, n preocupa, ti amo;1
Ao cuidado da malta que anda a delirar com o Sampaio da Novoa... RT @ExpressoOnline: Sondagem da Eurosondagem http://t.co/u3jzUCcVy7;1
e não quero que se volte a repetir;1
[CONSTRUIR]: Lucios inicia obra da sede do Comité Olímpico de Moçambique: A obra, orçamentada em 18,6M€, visa ... http://t.co/fMG6p5CbkR;1
"RT @pablovillaca: Peraí. Fernando Pimentel (governador das minhas Minas Gerais) foi buscar o filho com helicóptero do estado?!

Que exemplo…";1
I'm at São João da Talha http://t.co/BhryRX1ZKa;1
RT @claudiasplemos: dramas para ir para o banho // dramas para sair do banho;1
Vamos ter uma nota de merda e ninguem me liga puto :)))));0
"| BOAS NOTÍCIAS |

O Jardim Botânico, integrado na Universidade de Lisboa, vai ser requalificado, depois de ter... http://t.co/bZcKUlN5wd";1
Quando as coisas me começam a correr demasiado bem, tenho sempre um pressentimento que algo horrível vai acontecer...;1
RT @jimmyisyourwish: Odeio acordar com frio;1
E foi minha professora;0
Odeio que desmarquem as coisas à ultima da hora.;1
Polícia Militar apreende armas e drogas na Região do Barreiro, em Belo Horizonte https://t.co/1f0CinqA9F https://t.co/tWVo50A8No;0
eu e a Leonor estamos em chamada há quase 1 hora, nem sei como é que ela ainda não desligou visto que odeia falar por chamada;1
RT @LoveDoce: Necessitando de férias;0
"te amo do jeito que tu és &lt;3 http://t.co/FpECXLjwpr";1
1 em cada 3 portugueses gostaria de viver numa Monarquia :: Monarquia Portuguesa http://t.co/1Ov0GmKZ8G via @webnode;1
que a minha stora entre rápido , para não ter que o ver logo ás 8h por favor.;0
A minha vizinha está agora a aspirar a casa.. Às vezes dá lhe nas ganas. E porque não aspirar a casa às 8 da noite?!;1
e o teu sorriso faz o meu mundo girar.;0
@joaombaptistaa credo, é claro que não.;1
Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/TVTETLNM3s by #VEJA via @c0nvey;1
@maryylu20 é que acho que já estou a viciar xD;0
Notícia: Perdão fiscal: Governo já arrecadou quase 143 milhões de euros http://t.co/Nn5YAFXIYX;1
@MarisaSofs das 11:30h até à 13:15h;0
