text;labels
RT @jppreis: A indignação devemos deixá-la maturar como se de vinho tratasse com o tempo pode-se transformar em reflexão cristã profícua e …;1
@aguerra7 @Miiminhas @andretmcarmo @artuuur Então sim estaria em fora de jogo. Tenho de ver a jogada :p;0
Certificação em Nutrição Desportiva, um curso WellX ProSchool, Nutriscience, e Tudor Bomba Institute http://t.co/Bndcd1yrgL;1
@Alexandraa0110 aproveita bem *-*;0
"Volta ao Mundo direta ao coração do Brasil!
Brasília ilustrada na edição de novembro!

Mais imagens e grandes... http://t.co/4vjb20REQJ";1
Casa so para mim 👍;0
sou um grande admirador da série Fonseca;0
Dois são detidos ao tentar jogar celulares e drogas em presídio de MG: Ocorrência foi registrada perto do Sebastião… https://t.co/bm83obBiQd;0
Homem é preso suspeito de envolvimento com tráfico de drogas em Belo Horizonte  https://t.co/jVFTUeFAA3;0
https://t.co/PpFxz6BMXk este gajo é bue sexy e o sorriso que ele faz no fim? omg apaixonei-me;0
Dupla é presa em Patrocínio suspeita de envolvimento em roubo à fazenda https://t.co/rdnvBJ7aVK #TimBeta;0
O tempo esta com o periodo, de manha chove a tarde sol;0
chegai agr a casa .. tou super cansada;1
A minha internet é tao mas tao rápida que tropeça e cai;1
@yellowgofficial wassup yellow? Pensei que já te seguia aqui no Twitta mas afinal não.;1
Fogo, hoje joguei mesmo bem;0
@ChefePilo Não podes tomar senao o Axe não faz efeito. Vai por mim, sei do que falo.;1
Ainda nem recebi o ultimo teste ja tnh outro na segunda. Tipico de Historia A;1
Eu e o @MiguelCSilvaa cortamos a nossa relação definitivamente.;0
aquele momento em que encontras uma pessoa e nao sabes em que face dar chapada ahahah;1
"@martinezwall Isso era épico. Um santuário. Mandava fazer uma placa por cima das estátuas ""Os filhos da luta""";0
à pessoas que me conhecem melhor que se dissesse algumas coisas que digo aqui a algumas pessoas passavam-se logo;1
Gostei de um vídeo do @YouTube http://t.co/uHeJo16K3k Lila Downs - Tu Cárcel (En Vivo);1
OMG, tive que mudar para a tvi para ver a outra contra o vidro, ri tanto.;0
Apetece-me tiirar fotos mas este telemovel faz barulho a tirar;1
Amanhã vou acordar às 5:30 da manhã para vir estudar :-);0
RT @p3droksilva: @TiagoAlfarela não tem acontecido incidentes tirando a parte que a miley cyrus apareceu toda vestida ..;1
"Mais uma capa de álbum bonita? Vamos a isso!
Tenho quase a certeza que este trio captura, esventra, cozinha e... http://t.co/5Rq4wsgx5r";1
"CONSEGUIMOS 100 GOSTOS PELOS NOSSOS ADEPTOS? &lt;3 http://t.co/C6CxdFwYJQ";1
@andreiasmwit @PedroJEstrela @JoFilipaGomes ah ahahah nao te conheco mas vou, ok tranquilo ahahhaha;1
@miguelmartinhof o meu não :(;1
RT @Nelson_Andradee: Macklemore tem de ganhar #MTVEMA;1
obg mano !! (@YouTube http://t.co/HF67RGNVuK);0
meu SPORTING s2 s2 s2;1
Bom dia .;0
tenho muita fome, e muita preguiça de me levantar pa ir à cozinha. #merda;1
Depois de educação física .. Economia é do melhor;0
O MEU PAI É O VITOR BAÍA!;0
adoro relembrar bons momentos;0
Pessoas com níveis elevados de açúcar no sangue têm mais problemas de memória.Será que os políticos serão todos diabéticos ?;1
RT @peedrjinho: O problema? É importar-me demasiado com quem só me sabe magoar.;1
@rsantos50 sem dúvida como é que ninguém deu conta da falta da bola... @benficastuff;0
@BeatrizToMars tbm te adoro :$;1
@evertonmam @MakiTheDon lindo;0
PINN: Últimas PINN: Reino Unido concentra 75% dos bancários milionários da UE http://t.co/oleVdvZrxF #PINN;1
a desculpa dela foi a bebida, estava bêbada tadinha.....NÃO É DESCULPA CARALHO;1
Governo de Minas Gerais gasta R$ 50,8 milhões com helicópteros https://t.co/e7XxKA5OjS via @UOLNoticias @UOL;1
RT @neessp: Ai nem sabem o que eu descobri, o stor de filosofia (o meu DT) tem namorada. TIPO WTF CRL?;0
tenho de ir;0
foi brutaaaal, adorei #scouts;0
Sexo sem camisinha é que nem fabrica de chocolate, entra leite e sai garoto .;0
Polícia Militar apreende armas e drogas na Região do Barreiro, em Belo Horizonte  https://t.co/1ZzNt0Fs9a;0
@ChefePilo Arranja um sofá bem confortável para te sentares.;1
RT @jonguerreiiroo: Pls adorei o meu trabalho no cabelo da @BeijosVenenosos  #pink #hair #hairporn;0
"RT @joaobfcp: Vitória
Vitóri
Vitór
Vitó
Vit
Vi 
V
Vo 
Vot
Vota
Vota M";0
@catesofialinda e os sportinguistas sao bons adeptos por irem p o estadio a gritar ''o benfica é uma merda''? hm;0
Mas bom dia !!;0
mas só quero que chegue amanha, pq hoje o meu dia não esta a ser grande coisa;1
Só naquela, o céu está super lindo, eu acho;0
Grupo é detido após roubo e carreta recuperada em MG https://t.co/IH0usGXqmU #noticias;0
"Olho Vivo promove formação sobre ""Empreendedorismo para o Auto-emprego e Plano de Negócios"" http://t.co/1Wp74w2dLx";1
MANO TÁ TOCANDO A MÚSICA FODA NA LIVE DO @clocraft;0
Se nao me disserem nada para ir sair logo tambem nao digo. Nao tenho muita vontade. Fico em casa a viciar.;1
@Joaogalamba pois, infelizmente é o mais certo.;1
@Shyznogud agora sim;1
Adicionei um vídeo a uma playlist @YouTube http://t.co/4HEehQYLAt Assault - Cross of Iron;1
ODEIO QUANDO NAO ME DIZEM BOOOOM DIAAAAA;1
#4HoursOfSex e agora vou comer um bom bife, seéquemeentendes;0
@JoseAlmeida91 ÓÓÓÓÓH MANINHO TAS TODO QUEIMADO DESSA CABEÇA... PARA DE MENTIR;0
É dia 16 e ainda não deprimi muito;1
"PT hoje andei a ver videos dos alt-J no alive, e a rever o concerto dos phoenix lá &lt;3";0
vou para a casa da dans, fiqs feios;0
ja nao vale a pena, so tenho que me habituar a ideia.;1
Lembro que queriam cabelos brancos no governo 'de garotos'.;0
Odiei a minha nota de pt hoje....estragou-me logo o dia....;1
Não posso ter o cabelo de outra cor, mas depois no continenete vi uma gaja de cabelo rapado com polpa e alargador. Aff não intendo mesmo u.u;0
Oi acabei de chegar de um torneio de volei e quase quebrei o dedo outra vez. Meu dedo esta doendo muito acho q por uma tala;1
Eu cá não sou de intrigas mas está offshore puro de metro com cursos intensivos de canalização. A onde? Pois isso... http://t.co/oWulBv2tGJ;1
:) | via Tumblr http://t.co/9Yolrw906S;1
#SeÉsDaMinhaEscolaSabesQue hoje foi a comédia total;1
RT @dinheiro_vivo: Ações do Twitter disparam 73,5% na estreia em Bolsa http://t.co/7Rh4FDzvcV;0
@Mara_Rodrigues_ não sejas má pessoa;1
"""Não me sirvam pudins azedos"" no Hora do Saguim http://t.co/xRsUXOIHAh";1
Boa Noite mês amores;0
@PMMG190 - PM apreende drogas no bairro Retirinho https://t.co/Efbe4pDcYp;0
Futebol em direto: Académica 0 - 0 FC Porto http://t.co/uFOInCItj6;1
#i5gornascimento @i5gornascimento g1 Homem é preso em Sabará suspeito de estupro e roubo de celular https://t.co/eIQN8o4wl9;0
RT @dntwit: #Sul Carro explode na Pontinha ao ser atingido por um raio http://t.co/I5pSsXnukV Ler http://t.co/MElaZFAN53;1
@tixaaaam Por fatia ? :o Corrupção ! Extorquismo !;1
Oiii batata FRITA MAIS CHUNGAA;1
"Mas como o Miguel explicou à sua mãe ""ele já está doente, se dissemos a nota ainda lhe rebentavam a tromba"" ahah este Miguel &lt;3 #Lt";0
PUM... ATP caiu para o chão... http://t.co/mgtQ4xsQzr;1
Desiludo-me a mim própria e aos meus pais.;1
Admitiu ..;1
a Carly entra e eu tive um rapaz super bonito há minha frente,ele era mesmo alto...eu quase nao conseguia ver nada...;1
@Manelcarvalho2 tem................;0
BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/4X68bNf9zo;1
Isto não é bom para quem sofre do coração xD;0
Ai morri com isto http://t.co/X5U5jOwFW2;1
RT @diarioaco: Governo de Minas entrega 401 veículos para o transporte de alunos da rede pública de ensino - https://t.co/vLGPRqteud https:…;0
https://t.co/O3rQV9zWbP... — Oh, obrigado, mas só disse a verdade :') http://t.co/r1ssWzVbxO;1
MARQUEM POSSAS;0
quando acordas e nao sabes com o que é que sonhas-te mas sabes que sonhas-te com algi;1
@Mafaldav96 Tu tambem es muito fixe!;0
Mufs, o que achas?;1
@cattcunha boa sorte!! Eu escondi o meu aqui ao lado para ninguém o tirar xD;0
"(Vídeo) Alunos de São João da Madeira aprendem mandarim:  
Passou a ser obrigatória, a disciplina de Mandarim.... http://t.co/oIR2y3nU1Q";1
Poucas coisas deixam um sorriso destes! http://t.co/5Qi2GE7xFP;0
Já ninguém se da ao trabalho de escrever nada depois de por as horas, toda a gente sabe o que significa;1
O certo é que nos arrependemos de muitas coisas mas se nos dessem oportunidade de voltarmos atrás nos íamos fazer o mesmo :-);0
Quer dizer, estavam lá os médicos e pelo menos a minha mãe nué #LRT;0
#lx #lisboa #belem #museu #museudaeletricidade #tagsforlikes #portugaldenorteasul #wu_portugal… http://t.co/YLtOK4wpww;1
@QueroUmPudim tenho de te dar uma prenda;1
ninguem tem uma 3ds e um pokemon X ou Y que me empreste?;1
RT @CAASCORPION: Depois de decretar “calamidade financeira”, governo de Minas gasta mais R$ 21 milhões em helicópteros https://t.co/NSVIp1s…;1
"Há porque ""Odeio falsidade"" -.- epá okay...é bom saber, mas ninguém te perguntou!";1
#brandnew | A banda Scar The Martyr, projecto de Joey Jordison (Slipknot), lançou um novo vídeo. Esta intitula-se... http://t.co/TZAHE244Jg;1
Volteii;0
Quando mais me ignoras vais vontade tenho de te ter.;0
Uma historia muito gira, onde o #amor consegue aquecer o coracao. http://t.co/aSxV7nlXQD;1
RT @Nelson_Andradee: A minha escola deve ser alérgica a greves só pode;1
Polícia Militar apreende autor de tráfico de drogas em Ouro Preto-MG https://t.co/CA3LY7wcYB;0
Bom dia de São Martinho !;0
comi comida com pimenta, lavei  a boca e mesmo assim ainda tenho os labios picantes...;0
RT @Nelson_Andradee: Fumarem só para se armarem é tão hi5;0
